"Account: Account Name","Location Name","Location Type","Product Item Number","Product Code","Product Description","Quantity On Hand","Product Price","Actual Quantity On-Hand","Last Modified Date"
"","Shafique Sayyed - Inventory","Van","PI-63082","B1X0056","Chutney jar sub assembly MG1.0","0.00","450","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-63083","B1X0044","Wet/Dry jar sub asssembly MG1.0","0.00","450","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-63084","RA0946","BLDC Motor_Efficio+_TPW","0.00","599","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-63085","EA05401","Power PCB_Renesa Pedestal/Wall/Table_TPW","0.00","300","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-63086","SRMASS0075","Power PCB_Efficio+_Wall Mount_TPW","0.00","499","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-63087","SRMASS0149","Diffuser Opener Tool_CF_Renesa+_GV3","0.00","4720","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-63088","SRMASS0074","Power PCB_Efficio+_Pedestal_TPW","0.00","499","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-70145","SRA022904","Motor_Mn Black_1200mm_Renesa Reboot_GV5","0.00","2500","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-70147","SRA023205","Motor_Midnight Black_1200mm_Renesa+Reboot_GV5","0.00","2500","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-71771","SA0104","Motor Housing_Golden_CF_Renesa+/Renesa Smart_GV3","0.00","600","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-71772","SA0103","Motor Housing_Sandan Grey_CF_Renesa+/Renesa Smart_GV3","0.00","600","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-98753","A091905","Plastic Bottom Cover along with Screw_Gloss White_Ikano/Efficio Alpha_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-98754","RA0183","Diffuser (Bottom Cap)_Black_Renesa_GV3","0.00","60","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-100649","RA0072","Blade_Aluminium_Pearl White_1200mm_Renesa+/Renesa Smart_GV3","0.00","599","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-100650","RA0087","Blade_Aluminium_Pearl White_900mm_Renesa+/Renesa Smart_GV3","0.00","599","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-117625","A022806","Motor Housing_Metallic Golden_1200mm_Renesa Reboot_GV5","0.00","600","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-117627","A2X0027","Synchronous Motor_Renesa/Stelios/Stelios Pro_TPW","0.00","150","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-118057","EA05301","SMART PCBA /Phoenix-1 LED_PCB_GV5","0.00","700","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-118066","A091902","Plastic Bottom Cover along with Screw_Gloss Black_Ikano/Efficio Alpha/Ameza_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-118067","A159801","MG1.1 SS Jar Set with Lids Service","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-118074","EA03001","Smart PCB Phoenix Led_PCB_1200mm_GV5","0.00","700","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-118075","SA0010","Digital PCB_1200mm_Renesa Smart+_GV3","0.00","350","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-118628","A022803","Motor Housing_Matt Brown_Renesa_GV5","0.00","220","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-118994","SA0099","Stator_1200mm_Erica/Ikano/Ameza/Studio+Reboot/Renesa Reboot/Prime/Zen_GV5","0.00","500","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-118995","RA1241","Canopy_Golden_CF_Renesa+_GV3","0.00","150","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-119420","RA1240","Blade_Aluminium_Midnight Black_1200mm_Renesa_GV3","0.00","600","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-119421","RA0146","Canopy_Black_CF_Renesa_GV3","0.00","150","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-119649","EA08401","PCB_Renesa Prime_GV5 (Capacitor)","0.00","500","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-119837","EA12401","PCB_White LED_Efficio Alpha/Enzel _GV5","0.00","500","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-119954","B1X0116","MG1.0 Knob Assembly","0.00","80","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-120393","A091906","Plastic Bottom Cover along with Screw_Gloss Brown_Ikano/Efficio Alpha_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-120630","B1C0003","MG 1 Sensor PCB","0.00","150","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-120631","A091907","Plastic Bottom Cover along with Screw_Gloss Ivory_Ikano/Efficio Alpha_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-120632","B1C0002","MG 1 Interface PCB","0.00","350","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-120633","B1C0001","MG 1 Driver PCB","0.00","1000","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-121027","RA0075","Blade_Aluminium_G-Oak_1200mm_Renesa+/Renesa Smart_GV3","0.00","599","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-121356","A022801","Motor Housing White_Renesa/Renesa+/Renesa Smart+ GV5","0.00","500","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-121718","SA0087","PCB_Main_1200mm_Ozeo_GV4","0.00","500","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-122110","RA0924","Body_Top Plastic Assembly_Gloss Black_Alpha/Renesa Zen/Prime_GV5","0.00","220","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-122305","A023101","Motor Housing_Grey_Renesa+_GV5","0.00","600","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-123653","A2C0002","Power PCB_Renesa Pedestal Non Swing_TPW","0.00","500","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-124651","A1X0138","Blade_Aluminium_Black_1200mm_Ikano_GV5","0.00","600","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-124797","SA0020","Sensor PCB_CF","0.00","60","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-125302","SA0001","Rotor_Efficio_GV2","0.00","300","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-125679","RA0951","Neck_400mm_Pedestal E+_TPW","0.00","199","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-125680","RA0790","Neck_400mm_Wall Mount_TPW","0.00","199","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-125681","A033006","Canopy Midnight Black Set Pack_GV5","0.00","150","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-126186","A1X0140","Blade_Aluminium_Gloss Ivory_1200mm_Ikano_GV5","0.00","600","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-127378","EA07701","PCB_Renesa_900mm/1400mm_GV5.0 Reboot PCBA _Nuvoton+UCC-70 Micron_GV5","0.00","500","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-127555","A1X0042","Bottom Body_Plastic_Sand Grey_Studio+Reboot_GV5","0.00","220","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-128540","RA0156","Remote_CF_Efficio_GV2","0.00","150","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-139767","RA0074","Blade_Aluminium_Matt Brown_1200mm_Renesa_GV3","0.00","599","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-797219","TestProduct","Test PCB","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-823720","EA18601","Updated STM32_PCB_White LED_Efficio Alpha/Enzel/Azor _GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-826233","EA20801","Updated STM32_PCB_Enerio 28W_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-846277","EA12301","Updated STM32 PCB C0_0.6M/0.9M/1.2M/ 1.4M_ Renesa/Renesa+/Studio+/Ikano/Prime_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-860000","A3H0017","5 Pin Wire harness_Renesa Walrus/Pedestal_Black_TPW","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-864867","A064116","Blade_Aluminium_Enzel/Renesa Zen_1200mm_Dark Walnut_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-867409","A064120","Blade_Aluminium_Enzel/Renesa Zen_1200mm_Maplewood_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-869951","A064118","Blade_Aluminium_Enzel/Renesa Zen_1200mm_Mistly Teal_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-872493","A064119","Blade_Aluminium_Enzel/Renesa Zen_1200mm_Pebble Grey_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-875035","A170501","Updated Motor housing_Renesa Prime_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-888518","A033005","Canopy_Pearl White_Renesa+_GV5","0.00","150","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-890408","SA0105","Updated Plastic body with screw_Pebble Grey_Prime/Enzel/Zen_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-892961","SA0106","Updated Plastic body with screw_Gloss White_Prime/Enzel/Zen_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-895514","SA0107","Updated Plastic body with screw_Gloss Black_Prime/Enzel/Zen_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-898067","SA0108","Updated Plastic body with screw_Gloss Brown_Prime/Enzel/Zen_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-916840","TestSa001","PCB_Regulator_1200mm_Renesa Alpha_GV4Test","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-917579","A022807","Motor Housing_Pearl white_Renesa+_GV5","0.00","600","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-919963","SA0100","Stator_900mm_CF_GV5","0.00","220","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-922079","EA07101","Sensor PCB_Zenova_MG","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-943716","A091904","Plastic Bottom Cover along with Screw_Gloss Ivory_Ameza_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-943717","A064110","Blade_Aluminium_Gloss White_Renesa Prime_GV5","0.00","600","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-961792","A029703","Blade_Plastic_Steller Black_1200mm_Aris_IOT_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-964393","A101703","Top Canopy_Steller Black_1200mm_Aris_IOT_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-966994","A101803","Canopy top Plate_steller black_1200mm_Aris_IOT_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-969595","A102003","Middle upper canopy_Steller black_Aris_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-972196","A102203","Middle Lower canopy_Steller black_Aris_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-974797","A102403","Bottom Canopy_Steller Black_1220mm_Aris_IOT_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-977398","A006402","False cover_Aris_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-979999","A006505","Bottom cover_Steller black_Aris_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-982600","A002903","Motor Housing_Steller Black_1200mm_Aris_IOT_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-990644","A158402","Motor & Jar Coupler Set_MG1.0/Zenova/Maple_MG","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-993245","SA0110","Grill Belt Assembly_Black_Renesa Pedestal/Wall/Table/Stelios Pro/Izar Pedestal_TPW","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-995846","SA0109","Grill belt assembly_White_Renesa/Stelios/Izar Pedestal_TPW","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-1002014","RA1348","FG replacement Tags","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-1005778","RA1631","Service Cello Tape (Yellow - 3INX65M)","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-1008383","RA1632","Defective Spares Tag","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-1010988","RA1633","Defective FG Replacement seal","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-1026448","A073415","Downrod_Aegean Blue_CF","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-1050723","A073406","Downrod_Golden_CF","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-1053735","A091911","Bottom Cover_Ameza_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-1056747","EA16901","Updated_PCB STM32_1200mm_Erica/Ameza/Renesa Zen_1 LED_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-1059759","A112503","Canopy_Sea Sand Ivory_Ameza_GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-1064141","A073401","Downrod_Earth Brown_CF_Studio+_GV4","0.00","60","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-1067994","A064113","Blade_Aluminium_SS Ivory_Renesa Prime _GV5","0.00","0","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-1104196","A004001","Motor Bldc_150mm_Studio_EXH","0.00","599","0.00","10/12/2024"
"","Shafique Sayyed - Inventory","Van","PI-2096246","DS","","10.00","1","10.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-95646","A2X0027","Deactivated (Duplicacy) Synchronous Motor_TPW","0.00","2500","0.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-95647","A141701","Surge Protection Device Module Assembly_CF","0.00","0","0.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-95648","RA0070","Blade_Aluminium_White_1200mm_Renesa_GV3","0.00","599","0.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-95649","A2C0003","Interface PCB_Renesa Pedestal Non Swing_TPW","0.00","150","0.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-95650","RA0072","Blade_Aluminium_Pearl White_1200mm_Renesa+/Renesa Smart_GV3","0.00","599","0.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-95651","SA0099","Stator_1200mm_Erica/Ikano/Ameza/Studio+Reboot/Renesa Reboot/Prime/Zen_GV5","2.00","500","2.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-95652","EA05301","SMART PCBA /Phoenix-1 LED_PCB_GV5","0.00","700","0.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-95653","EA05401","Power PCB_Renesa Pedestal/Wall/Table_TPW","0.00","300","0.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-95654","A2C0002","Power PCB_Renesa Pedestal Non Swing_TPW","0.00","500","0.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-4096","SA0001","Rotor_Efficio_GV2","0.00","300","0.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-4097","SA0060","Power PCB (Without Potting) BL_CF_Renesa_GV3","6.00","400","6.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-4098","SA0021","Main PCB_CF_1200mm_Efficio_Reg_28W_GV2","0.00","500","0.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-4099","SA0011","Consolidate PCB GV3_CF_Renesa+_GV3","12.00","350","12.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-4100","SA0019","Consolidate PCB GV2_CF__Efficio_GV2","3.00","500","3.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-4101","SA0040","Motor Housing_Black_CF_Renesa_GV3","2.00","590","2.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-4102","EA04101","PCB_Renesa/Renesa+/Ikano/Sudio+ STM8s, 70micron  (6 LED)_GV5","0.00","500","0.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-35868","SA0020","Sensor PCB_CF","5.00","60","5.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-35869","RA0183","Diffuser (Bottom Cap)_Black_Renesa_GV3","1.00","60","1.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-35870","RA0038","Spring_CF_Renesa_GV3","2.00","25","2.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-35871","RA0173","Sensor Holder_CF","5.00","30","5.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-35872","SA0041","Motor Housing_White_CF_Renesa_GV3","5.00","590","5.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-35873","RA0031","Oc Connector_CF","2.00","15","2.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-35874","RA0345","Circlip Pin_CF_Renesa_GV3","5.00","9","5.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-35875","SA0058","Stator_CF_1400mm_Efficio/Efficio+/Studio_GV2","0.00","500","0.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-35876","RA0157","Remote_CF_Renesa_GV3","0.00","150","0.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-35877","SA0010","Digital PCB_1200mm_Renesa Smart+_GV3","0.00","350","0.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-35878","A1X0601","CF_Universal Remote New","1.00","250","1.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-35879","SA0045","Motor Housing_Earth Brown_CF_Renesa+/Renesa Smart_GV3","3.00","590","3.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-35880","SA0057","Stator_CF_1200mm_Efficio/Efficio+/Studio_GV2","2.00","500","2.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-35881","SA0039","PCB_Remote_1200mm_Studio+_GV4","1.00","500","1.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-35882","SA0042","Motor Housing_Brown_CF_Renesa_GV3","1.00","590","1.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-35883","SA0038","PCB_Regulator_1200mm_Renesa Alpha_GV4","0.00","500","0.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-35884","SA0087","PCB_Main_1200mm_Ozeo_GV4","0.00","500","0.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-35885","RA0182","Diffuser (Bottom Cap)_White_Renesa_GV3","3.00","60","3.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-35886","SA0056","Stator_CF_1200mm_Renesa/Renesa+/Renesa Smart_GV3","2.00","500","2.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-35887","RA1239","Deactivated - Motor Housing_Sandan Grey_CF_Renesa+/Renesa Smart_GV3","0.00","600","0.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-35888","EA03001","Smart PCB Phoenix Led_PCB_1200mm_GV5","0.00","700","0.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-35889","RA0037","Spring_Efficio_ Gv2a_GV2","3.00","25","3.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-44048","RA0177","Diffuser_Pearl Ivory_Efficio_GV2","0.00","25","0.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-44049","SA0098","Stator_CF_1400mm_Renesa/Renesa+/Renesa Smart_GV3","0.00","500","0.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-44050","SA0061","Power PCB (Without Potting) WH_CF_Renesa_GV3","2.00","400","2.00","10/12/2024"
"","Premnath Patil - Inventory","Van","PI-44051","SA0055","Stator_CF_600mm_Renesa/Renesa+/Renesa Smart_GV3","0.00","500","0.00","10/12/2024"
